GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
8600000US01001,1001,ZCTA5 01001,7103,276,71100,4274,74.9,2.8,77547,4803,23.4,3.2,6886,3158,34.1,3.3,17569,1162,7.1,2.2,8676,1596,2.7,1.1,4389,1658,16.2,2.7,18499,2892,4080,287,87258,6556,13.6,3.4,37509,6294,25.5,4.5,58317,6428,34.6,4.5,109289,10679,7.6,2.7,93407,11998,14,3.3,131348,14852,4.7,2.6,84226,17362,17438,639,30044,1734,91.8,3.3,30392,1847,1.3,1.1,37258,20286,0.1,0.1,N,N,3.7,2.1,18770,6693,0.2,0.3,-,**,1.8,1.5,34983,20800,1.2,0.8,22749,17295,6.4,2.3,16697,5942,87.8,3.4,30821,1856,31.6,(X),(X),(X),32.8,(X),(X),(X),28.9,(X),(X),(X)
8600000US01002,1002,ZCTA5 01002,9541,437,78112,4736,81.4,2.4,73907,5257,33.2,2.4,17204,3713,22.2,2.4,17004,1247,3.9,1.3,9077,1205,2.1,1,3559,1556,16.5,1.9,43169,4997,4681,310,114246,7707,11,2.6,65588,15004,32.3,3.9,80302,11994,37.4,3.7,150620,12901,7.8,2.7,95939,13892,8.8,2.4,157336,19659,2.7,1.8,125169,59432,29780,538,26130,1610,78.4,2,29222,1938,4.7,1.3,8754,3177,0.5,0.3,21996,17118,12.9,1.6,17448,3143,0,0.1,-,**,0.6,0.4,15104,10385,2.9,0.7,12587,4975,6.4,1.2,19121,3642,73.2,2,29853,2121,32.7,(X),(X),(X),23,(X),(X),(X),31.1,(X),(X),(X)
8600000US01003,1003,ZCTA5 01003,29,21,84224,78507,100,55.1,83517,77635,0,55.1,-,**,0,55.1,-,**,0,55.1,-,**,0,55.1,-,**,41.4,51.8,N,N,12,19,N,N,0,85.6,N,N,0,85.6,N,N,100,85.6,N,N,0,85.6,N,N,0,85.6,N,N,0,85.6,N,N,11241,534,3855,305,79.8,2.6,4133,358,6.2,1.3,3187,676,0.3,0.3,2041,1625,11.3,1.9,2675,569,0,0.3,-,**,1,0.6,2531,1242,1.5,0.7,1863,738,4.8,1.2,3091,564,76,2.5,4190,388,41.4,(X),(X),(X),0,(X),(X),(X),44.8,(X),(X),(X)
8600000US01005,1005,ZCTA5 01005,1812,183,83117,12443,78.2,7.2,88737,15778,18.5,5.6,6531,3578,35.2,5.6,14787,2746,5.7,3.3,12241,4702,3.4,2.9,N,N,18.7,6.1,26648,7835,1157,123,100230,17212,9.4,5.3,53859,19114,22.2,8.4,98992,61095,36.6,6.4,100123,8586,7.1,4.8,69093,20277,20.7,8.3,134570,36726,3.9,3.9,94209,42730,5201,194,30325,4203,97.3,2.2,29967,4354,0.8,0.9,-,**,0.2,0.3,N,N,1.6,1.9,74228,66955,0,0.6,-,**,0,0.1,-,**,0.1,0.2,N,N,1.2,1.3,190410,134972,96.3,2.4,28005,2885,34.5,(X),(X),(X),34.9,(X),(X),(X),30.8,(X),(X),(X)
8600000US01007,1007,ZCTA5 01007,5716,204,87967,6210,81.4,3.5,89404,6328,22.7,4.1,14354,9887,29.6,4,17000,1739,5.7,2.2,11476,2315,2.7,1.4,3101,2327,20.4,3.7,23721,3953,4043,182,98640,8138,12.4,4.2,N,N,21.1,4.3,N,N,42.1,4.7,N,N,8.2,3.4,N,N,15.4,3.4,N,N,0.8,1,N,N,14838,37,34278,2743,94.9,2.3,35162,2792,0.7,0.7,16075,6468,0,0.2,-,**,2.2,1.2,14574,10984,0,0.2,-,**,0.4,0.3,N,N,1.8,1.5,22797,31082,2.1,1.9,5459,5527,93,3,35783,2921,32.3,(X),(X),(X),32.2,(X),(X),(X),25.7,(X),(X),(X)
8600000US01008,1008,ZCTA5 01008,505,52,76843,5606,86.5,5.3,72765,6031,17.8,4.8,7834,2891,31.1,6.2,16461,2053,5,4,9108,1883,0.4,0.9,N,N,24.4,6.7,25572,5420,363,50,82807,7591,10.5,6.2,43645,10918,23.7,7.7,71735,9806,44.6,8.3,98799,13507,8,6.1,44986,20392,13.2,5.4,102529,14505,0,8.6,-,**,1171,139,33040,3248,99.5,0.9,33210,3249,0,2.7,-,**,0,2.7,-,**,0.5,0.9,-,**,0,2.7,-,**,0,2.7,-,**,0,2.7,-,**,0.3,0.4,N,N,99.1,0.9,33238,3258,32.7,(X),(X),(X),35.8,(X),(X),(X),23.8,(X),(X),(X)
8600000US01009,1009,ZCTA5 01009,184,75,47654,11263,91.8,11.7,36802,17330,46.2,27.9,1159,426,45.1,28.3,17227,10077,17.4,26.8,N,N,0,16.1,-,**,19.6,22.5,N,N,157,74,47797,14947,0,18.6,N,N,36.9,31.5,N,N,55.4,34.2,N,N,7.6,13.2,N,N,0,18.6,N,N,0,18.6,N,N,429,202,20360,6744,100,7.3,20360,6744,0,7.3,-,**,0,7.3,-,**,0,7.3,-,**,0,7.3,-,**,0,7.3,-,**,0,7.3,-,**,0,7.3,-,**,100,7.3,20360,6744,40.2,(X),(X),(X),39.5,(X),(X),(X),44.1,(X),(X),(X)
8600000US01010,1010,ZCTA5 01010,1484,86,93709,8912,86.2,4.1,85844,10187,29.1,5.3,8366,2818,32.6,6.7,18699,2808,6.9,4.7,10311,2815,0.8,1.4,N,N,23.4,5.5,24991,5224,1004,88,113000,13014,7.7,3.3,N,N,28.7,8.9,N,N,38.4,8.3,N,N,13.1,7.6,N,N,9.8,5.1,N,N,2.3,2.5,N,N,3695,21,38412,3792,100,0.9,38412,3792,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,1.1,1.3,N,N,98.9,1.3,38514,3779,27.7,(X),(X),(X),30.7,(X),(X),(X),24.5,(X),(X),(X)
8600000US01011,1011,ZCTA5 01011,552,58,74925,7057,87,4.1,70353,7708,16.8,5.5,8341,4318,26.3,5,19028,2948,7.8,4.2,8598,2090,2.2,1.5,3325,2079,16.7,4.3,28502,6587,422,52,82978,7985,11.4,4.3,N,N,32.7,7.4,N,N,28.2,5.4,N,N,5.9,2.9,N,N,19,6.7,N,N,2.8,2.8,N,N,1506,180,28174,2280,96.2,2.2,28301,2315,1.1,1.2,N,N,0,2.1,-,**,0.7,1,N,N,0,2.1,-,**,0.7,0.9,N,N,1.3,1.2,15316,4902,2.7,3.2,N,N,94,3.8,28961,2434,28.1,(X),(X),(X),25.6,(X),(X),(X),24.5,(X),(X),(X)
8600000US01012,1012,ZCTA5 01012,245,38,74791,11146,78.4,7.2,73542,12874,35.1,10.6,15792,11675,21.6,6.5,20877,2420,6.9,5.3,9065,2081,0,12.4,-,**,15.9,9,30662,7271,163,31,88851,13909,13.5,6.8,29400,15631,17.8,12,74721,24021,43.6,13.9,99315,24054,9.8,6.4,119356,66269,9.8,7.1,106650,32017,5.5,5.1,111278,54685,539,87,34589,5251,98.7,1.7,34832,5308,0,5.8,-,**,0,5.8,-,**,0,5.8,-,**,0,5.8,-,**,0,5.8,-,**,1.3,1.7,N,N,1.5,1.9,40038,14144,97.2,2.6,34752,5348,22.4,(X),(X),(X),31.3,(X),(X),(X),19.6,(X),(X),(X)
