GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
8600000US01001,1001,ZCTA5 01001,17423,582,15974,680,256,180,5,11,703,386,24,39,277,205,184,126,63,101,121,81
8600000US01002,1002,ZCTA5 01002,29970,541,23459,711,1711,427,140,98,3502,398,17,25,230,137,911,248,148,126,763,206
8600000US01003,1003,ZCTA5 01003,11296,508,8698,470,660,156,30,35,1538,263,0,19,130,69,240,80,7,14,233,80
8600000US01005,1005,ZCTA5 01005,5228,185,5063,219,105,81,0,17,32,36,18,29,2,6,8,15,3,9,5,13
8600000US01007,1007,ZCTA5 01007,14888,24,13906,334,125,109,0,19,443,216,0,19,34,40,380,237,0,19,380,237
8600000US01008,1008,ZCTA5 01008,1194,118,1182,119,0,12,0,12,7,10,0,12,0,12,5,9,0,12,5,9
8600000US01009,1009,ZCTA5 01009,237,120,237,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US01010,1010,ZCTA5 01010,3718,30,3703,33,9,14,0,12,6,10,0,12,0,12,0,12,0,12,0,12
8600000US01011,1011,ZCTA5 01011,1523,180,1462,175,15,18,0,12,11,16,0,12,18,22,17,14,0,12,17,14
8600000US01012,1012,ZCTA5 01012,528,98,520,100,0,12,0,12,0,12,2,6,0,12,6,9,0,12,6,9
8600000US01013,1013,ZCTA5 01013,22943,831,19344,1072,808,290,28,42,524,373,0,22,1919,450,320,193,124,151,196,108
8600000US01020,1020,ZCTA5 01020,30629,907,27211,1089,957,423,58,55,385,204,0,25,1207,651,811,377,185,209,626,318
8600000US01022,1022,ZCTA5 01022,2528,457,1848,316,414,204,0,12,45,62,0,12,57,100,164,159,30,70,134,155
8600000US01026,1026,ZCTA5 01026,1018,110,974,104,33,37,0,12,0,12,0,12,0,12,11,14,0,12,11,14
8600000US01027,1027,ZCTA5 01027,17872,108,16675,359,326,227,3,5,240,174,0,19,252,205,376,161,93,75,283,145
8600000US01028,1028,ZCTA5 01028,16063,26,14485,544,981,449,26,35,328,205,0,19,39,39,204,115,12,18,192,112
8600000US01029,1029,ZCTA5 01029,760,164,746,162,7,10,0,12,0,12,0,12,0,12,7,9,0,12,7,9
8600000US01030,1030,ZCTA5 01030,11278,579,10824,611,195,156,6,9,209,119,0,19,9,15,35,31,0,19,35,31
8600000US01031,1031,ZCTA5 01031,1192,200,1161,199,8,11,0,12,0,12,0,12,0,12,23,26,0,12,23,26
8600000US01032,1032,ZCTA5 01032,590,132,586,132,0,12,0,12,4,6,0,12,0,12,0,12,0,12,0,12
8600000US01033,1033,ZCTA5 01033,6310,28,6172,127,0,17,0,17,18,27,0,17,60,93,60,79,0,17,60,79
