GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US01001,01001,ZCTA5 01001,17438,639,16014,798,230,197,18,26,639,363,27,49,306,262,204,135,80,100,124,99
8600000US01002,01002,ZCTA5 01002,29780,538,23333,736,1399,383,142,86,3853,483,0,22,185,114,868,223,100,65,768,215
8600000US01003,01003,ZCTA5 01003,11241,534,8967,514,699,151,34,37,1266,217,0,19,111,63,164,77,44,40,120,65
8600000US01005,01005,ZCTA5 01005,5201,194,5062,234,40,48,10,16,81,101,0,17,2,5,6,10,3,7,3,9
8600000US01007,01007,ZCTA5 01007,14838,37,14086,341,104,102,0,19,330,181,0,19,52,46,266,216,0,19,266,216
8600000US01008,01008,ZCTA5 01008,1171,139,1165,138,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12
8600000US01009,01009,ZCTA5 01009,429,202,429,202,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US01010,01010,ZCTA5 01010,3695,21,3695,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US01011,01011,ZCTA5 01011,1506,180,1449,184,17,17,0,12,10,16,0,12,11,13,19,18,0,12,19,18
8600000US01012,01012,ZCTA5 01012,539,87,532,86,0,12,0,12,0,12,0,12,0,12,7,9,0,12,7,9
8600000US01013,01013,ZCTA5 01013,22394,622,18852,835,640,257,25,38,413,357,0,22,2080,483,384,176,131,148,253,119
8600000US01020,01020,ZCTA5 01020,30952,839,27256,1132,891,367,53,41,405,269,0,25,1324,616,1023,487,223,214,800,434
8600000US01022,01022,ZCTA5 01022,2840,464,2150,307,395,293,0,12,51,57,0,12,69,82,175,176,29,65,146,172
8600000US01026,01026,ZCTA5 01026,1036,131,985,130,28,29,4,6,0,12,0,12,0,12,19,16,0,12,19,16
8600000US01027,01027,ZCTA5 01027,17787,103,16248,476,313,217,3,6,456,202,0,19,310,261,457,236,86,93,371,226
8600000US01028,01028,ZCTA5 01028,16017,23,14677,424,849,392,7,14,356,224,0,19,16,21,112,70,0,19,112,70
8600000US01029,01029,ZCTA5 01029,717,189,671,175,4,8,0,12,36,53,0,12,0,12,6,9,0,12,6,9
8600000US01030,01030,ZCTA5 01030,11250,635,10808,649,190,168,6,10,202,130,0,19,10,16,34,34,0,19,34,34
8600000US01031,01031,ZCTA5 01031,1369,187,1292,182,0,12,23,32,0,12,0,12,0,12,54,54,28,44,26,33
8600000US01032,01032,ZCTA5 01032,611,116,605,116,0,12,0,12,6,8,0,12,0,12,0,12,0,12,0,12
8600000US01033,01033,ZCTA5 01033,6304,31,6252,57,0,17,0,17,0,17,0,17,16,25,36,43,0,17,36,43
8600000US01034,01034,ZCTA5 01034,2190,201,2131,204,6,6,13,19,9,6,0,12,4,7,27,21,2,3,25,22
8600000US01035,01035,ZCTA5 01035,5324,23,5076,123,51,38,23,34,111,85,0,17,27,27,36,44,0,17,36,44
8600000US01036,01036,ZCTA5 01036,5179,20,5133,49,6,12,0,17,22,29,0,17,0,17,18,20,7,12,11,17
8600000US01037,01037,ZCTA5 01037,731,166,666,180,11,26,0,12,0,12,0,12,32,53,22,47,22,47,0,12
8600000US01038,01038,ZCTA5 01038,2794,141,2686,164,25,24,0,12,54,61,0,12,0,12,29,28,0,12,29,28
8600000US01039,01039,ZCTA5 01039,1236,173,1212,170,6,10,0,12,5,8,0,12,10,14,3,5,0,12,3,5
8600000US01040,01040,ZCTA5 01040,40342,67,33101,816,1827,497,200,141,618,271,17,23,3654,681,925,247,366,141,559,184
8600000US01050,01050,ZCTA5 01050,2513,302,2363,299,89,94,4,9,0,12,7,11,4,7,46,38,0,12,46,38
8600000US01053,01053,ZCTA5 01053,1772,262,1625,227,62,77,0,12,12,20,0,12,28,32,45,48,14,16,31,46
8600000US01054,01054,ZCTA5 01054,1993,128,1857,119,56,61,5,7,38,26,0,12,0,12,37,26,0,12,37,26
8600000US01056,01056,ZCTA5 01056,21348,25,20024,337,300,134,33,43,212,167,5,13,568,195,206,108,15,23,191,107
8600000US01057,01057,ZCTA5 01057,8712,120,8475,165,0,17,0,17,33,35,0,17,41,49,163,97,20,24,143,95
