GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
8600000US01001,1001,ZCTA5 01001,7190,255,70545,4455,71.7,3.5,77743,4884,22.7,3.1,9312,4479,37,3.4,18019,1143,6.8,2.4,9793,1682,3,1.3,6800,3698,18.3,2.8,18903,3049,3943,290,88401,5971,14.8,4.1,41556,7857,23.8,4.1,59600,7647,31.6,4.8,112573,11471,10.8,3.9,95913,17502,14.5,3.2,130276,14968,4.6,2.9,72549,17067,17423,582,30430,1861,91.7,2.7,30973,1857,1.5,1,31279,19546,0,0.1,N,N,4,2.2,18772,6291,0.1,0.2,-,**,1.6,1.2,38975,28617,1.1,0.7,18586,15141,7.5,2.6,13874,4983,86.5,3.3,31872,1867,32.3,(X),(X),(X),33.6,(X),(X),(X),29.3,(X),(X),(X)
8600000US01002,1002,ZCTA5 01002,9561,447,77076,3904,80.3,2.7,73620,4467,31.4,2.7,18539,3926,23.1,2.2,16628,1276,3.5,1.4,10417,1137,2.2,1.1,3182,1769,15.8,1.8,43404,5783,4626,267,113302,6621,12,2.9,58174,13121,31.1,4.4,79725,12345,37.7,4.8,146172,13002,7.2,2.5,109361,21371,8.1,2.3,175266,30250,3.8,2.1,112167,29698,29970,541,26072,1531,78.3,2,28529,1802,5.7,1.4,11748,4972,0.5,0.3,9481,5700,11.7,1.3,21601,4923,0.1,0.1,-,**,0.8,0.5,16466,8844,3,0.8,12364,5940,6.2,1,16065,4578,73.7,1.9,29310,1805,35.6,(X),(X),(X),26.5,(X),(X),(X),33,(X),(X),(X)
8600000US01003,1003,ZCTA5 01003,26,21,N,N,42.3,57.7,N,N,0,58.2,-,**,0,58.2,-,**,0,58.2,-,**,0,58.2,-,**,0,58.2,-,**,0,19,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,11296,508,3829,221,77,2.5,4167,263,5.8,1.3,3290,768,0.3,0.3,2447,1617,13.6,2.3,2570,496,0,0.3,-,**,1.2,0.6,2413,1215,2.1,0.7,2058,518,4.7,1.2,3297,642,73.4,2.6,4210,272,26.9,(X),(X),(X),-,(X),(X),(X),41.3,(X),(X),(X)
8600000US01005,1005,ZCTA5 01005,1840,187,87666,10794,78.2,7.3,91733,13717,21.3,6.8,4598,3472,40.4,6.7,17585,3579,3.2,2.5,9319,7048,2.5,2.5,N,N,20.4,6.6,30105,9918,1150,144,109913,15430,9.8,5.1,59121,17376,22.9,9,107106,48261,36.4,8.4,103054,10196,3.2,3.3,121192,102156,23.8,8.5,143874,25623,3.8,2.9,101484,44958,5228,185,32169,3765,96.8,1.9,32121,3994,2,1.6,18938,15333,0,0.6,-,**,0.6,0.7,N,N,0.3,0.6,N,N,0,0.1,-,**,0.2,0.3,N,N,1.5,1.3,129666,128346,95.8,2.2,30552,3106,38.8,(X),(X),(X),35,(X),(X),(X),31.5,(X),(X),(X)
8600000US01007,1007,ZCTA5 01007,5611,216,95187,7572,81.8,3.8,97530,9602,23.4,3.5,13637,9510,29.9,3.6,18269,1575,4.6,2.2,9742,2337,1.9,1.5,2219,1332,19.9,3.5,24807,4346,4010,197,104672,8288,13.7,4.2,N,N,20.2,4.5,N,N,40.8,5.2,N,N,7.7,3.1,N,N,16.8,3.5,N,N,0.8,0.9,N,N,14888,24,36359,3115,93.4,2.3,37615,3240,0.8,0.7,23098,12497,0,0.2,-,**,3,1.4,17772,7992,0,0.2,-,**,0.2,0.3,N,N,2.6,1.6,18155,23470,2,1.9,2800,1903,91.4,2.9,38395,3369,30.5,(X),(X),(X),29.3,(X),(X),(X),23.8,(X),(X),(X)
8600000US01008,1008,ZCTA5 01008,530,47,76736,7241,86.4,5,72290,7666,16.2,4.1,8443,3214,31.5,6.3,17172,1950,5.1,3.8,7996,1852,0.6,0.7,N,N,22.6,6,28023,6126,366,46,83558,10246,11.7,6.2,43070,10132,24.6,7.3,76602,13184,43.7,7.8,94534,12707,6.8,5.8,31556,15182,13.1,5.6,123367,34734,0,8.5,-,**,1194,118,34505,4144,99,1.2,34813,4131,0,2.7,-,**,0,2.7,-,**,0.6,0.8,-,**,0,2.7,-,**,0,2.7,-,**,0.4,0.8,N,N,0.3,0.4,N,N,98.7,1.3,34844,4139,37.4,(X),(X),(X),43.2,(X),(X),(X),30,(X),(X),(X)
8600000US01009,1009,ZCTA5 01009,106,47,58943,20804,86.8,18,47842,25335,34,26.4,N,N,63.2,23.3,16406,8208,17.9,24.3,N,N,0,25.9,-,**,32.1,23,N,N,80,42,59111,27818,0,32.1,N,N,52.5,32.9,N,N,32.5,31.7,N,N,15,21.9,N,N,0,32.1,N,N,0,32.1,N,N,237,120,26150,12089,100,12.8,26150,12089,0,12.8,-,**,0,12.8,-,**,0,12.8,-,**,0,12.8,-,**,0,12.8,-,**,0,12.8,-,**,0,12.8,-,**,100,12.8,26150,12089,34,(X),(X),(X),45,(X),(X),(X),43,(X),(X),(X)
8600000US01010,1010,ZCTA5 01010,1494,92,93366,9538,86,3.9,85682,11003,25.5,6.4,9507,3055,34.4,6.9,18405,3017,8.3,5.3,10973,3259,1.8,1.7,6574,6965,20.8,5.2,27413,5351,1026,86,109953,12672,8.9,3.4,N,N,28.3,7.6,N,N,38.1,9.6,N,N,15.2,8.2,N,N,7.6,4.5,N,N,1.9,2.1,N,N,3718,30,38693,3929,99.6,0.5,38473,3775,0.2,0.4,N,N,0,0.9,-,**,0.2,0.3,N,N,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,1.2,1.2,45805,37522,98.4,1.3,38387,3842,34.1,(X),(X),(X),38.5,(X),(X),(X),29.1,(X),(X),(X)
8600000US01011,1011,ZCTA5 01011,552,60,79789,8086,84.2,5.6,79318,8608,14.9,4.3,9200,6099,25.5,4.8,18454,2535,9.2,4,10161,2396,3.4,1.9,5747,2146,18.7,5.3,24642,6737,416,54,86093,9747,12.5,5.3,39054,10110,30.5,7.2,57796,7628,28.4,6.2,101346,15264,6.5,3.5,79241,14620,22.1,6.8,134192,20068,0,7.5,-,**,1523,180,29951,2657,96,2.9,30122,2543,1,1.1,N,N,0,2.1,-,**,0.7,1.1,N,N,0,2.1,-,**,1.2,1.4,N,N,1.1,0.9,18547,6680,3.3,3.4,N,N,93.6,4.2,30904,2643,35.3,(X),(X),(X),32.7,(X),(X),(X),33.7,(X),(X),(X)
8600000US01012,1012,ZCTA5 01012,243,43,74619,10337,81.1,6.8,70209,12775,31.3,10.2,17105,13390,26.7,7.8,22298,2065,4.1,3.1,N,N,0,12.5,-,**,18.1,10.2,28202,8217,155,35,88088,16365,13.5,8.2,N,N,25.8,14.3,N,N,36.8,12.3,N,N,7.7,6.2,N,N,11.6,7.7,N,N,4.5,4.7,N,N,528,98,34032,6966,98.5,2.1,33787,6593,0,6,-,**,0,6,-,**,0,6,-,**,0.4,1.1,N,N,0,6,-,**,1.1,1.7,N,N,2.1,2.6,36036,18322,96.4,3.4,33739,6667,21.4,(X),(X),(X),31,(X),(X),(X),14.1,(X),(X),(X)
